iteration;MPI;Without MPI;mpi_result;simple_result;Ganho;;;;;;;
100;0;0;18,48;22,68;0;;;;;;;
500;0;0;23,18;23,18;0;;;;;;;
1000;0;0;23,35;21,67;0;;;;;;;
5000;0,01;0,01;22,48;22,13;1;;;;;;;
10000;0,01;0,03;21,76;21,54;3;;;;;;;
50000;0,06;0,14;22,02;22,17;2,333333333;;;;;;;
100000;0,14;0,27;22;21,92;1,928571429;;;;;;;
500000;0,43;1,41;22,17;22,05;3,279069767;;;;;;;
1000000;1,75;2,74;22,12;22,05;1,565714286;;;;;;;
5000000;3,94;13,63;22,09;22,07;3,459390863;;;;;;;
10000000;7,74;27,4;22,09;22,09;3,54005168;;;;;;; 
